nom du fichier;temps_debut;temps_fin;frequence_mediane;tadarida_taxon;tadarida_probabilite;tadarida_taxon_autre;observateur_taxon;observateur_probabilite;validateur_taxon;validateur_probabilite
Car381009-2026-Pass1-Z1-2MU00693_20260728_204335_000;0.0;4.9;16.0;noise;0.45;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204335_000;0.1;4.9;31.0;Testes;0.75;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204335_000;0.4;4.2;9.0;Tetvir;0.73;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204350_000;0.1;3.7;26.0;noise;0.16;Antsp;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204350_000;0.0;4.3;31.0;Testes;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204350_000;0.6;4.4;9.0;Tetvir;0.76;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204359_000;0.0;3.0;30.0;Barfis;0.29;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204359_000;1.2;3.1;18.0;Phanan;0.04;noise, Phogri;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204359_000;0.1;3.0;10.0;Tetvir;0.92;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204403_000;0.2;2.0;18.0;noise;0.14;Antsp;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204403_000;0.0;5.0;30.0;Testes;0.66;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204403_000;0.0;5.0;9.0;Tetvir;0.65;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204415_000;0.1;5.0;30.0;noise;0.17;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204415_000;0.7;4.7;28.0;Antsp;0.11;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204415_000;0.0;5.0;21.0;Tetvir;0.91;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204427_000;0.1;4.6;20.0;noise;0.15;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204427_000;0.0;4.6;33.0;Testes;0.86;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204427_000;0.3;5.0;10.0;Tetvir;0.73;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204438_000;0.0;2.0;16.0;noise;0.19;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204438_000;0.2;2.0;16.0;Plaaff;0.04;Tetvir, Phogri;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204440_000;0.0;3.6;28.0;noise;0.19;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204440_000;0.0;2.7;17.0;Plaaff;0.45;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204440_000;0.1;2.8;31.0;Testes;0.46;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204450_000;0.7;2.1;19.0;noise;0.36;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204450_000;0.0;2.1;31.0;Testes;0.54;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204454_000;0.0;4.6;30.0;noise;0.1;Phogri;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204454_000;0.0;2.6;33.0;Testes;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204454_000;0.0;4.6;27.0;Tetvir;0.93;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204503_000;0.0;0.8;12.0;Mimasp;0.61;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204503_000;1.6;1.7;36.0;Leppun;0.22;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204503_000;1.4;2.6;17.0;Phanan;0.05;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204503_000;0.7;2.6;46.0;noise;0.07;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204503_000;1.2;2.6;7.0;Tetvir;0.36;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204508_000;0.0;4.8;18.0;noise;0.16;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204508_000;0.0;5.0;31.0;Testes;0.8;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204508_000;0.0;4.3;16.0;Tetvir;0.92;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204517_000;0.0;2.2;28.0;Testes;0.78;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204517_000;0.6;2.2;10.0;Tetvir;0.73;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204520_000;0.0;4.6;26.0;noise;0.16;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204520_000;0.4;3.9;17.0;Plaaff;0.08;Barfis;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204520_000;0.3;4.9;27.0;Testes;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204527_000;2.5;2.7;8.0;noise;0.07;Tetvir, Barfis;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204527_000;0.1;2.0;30.0;Testes;0.64;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204530_000;0.9;2.3;26.0;noise;0.38;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204530_000;0.0;0.3;29.0;Barfis;0.25;Pleaur;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204535_000;0.2;3.5;20.0;noise;0.11;Phogri;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204535_000;0.0;4.8;34.0;Testes;0.74;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204535_000;0.0;5.0;12.0;Tetvir;0.89;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204543_000;0.0;2.0;30.0;Antsp;0.3;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204543_000;0.3;2.3;10.0;Tetvir;0.68;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204549_000;0.1;4.3;20.0;noise;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204549_000;0.1;5.0;34.0;Testes;0.84;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204549_000;0.0;5.0;24.0;Tetvir;0.85;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204600_000;0.0;3.0;29.0;noise;0.1;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204600_000;0.0;2.7;31.0;Testes;0.58;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204600_000;0.0;2.9;12.0;Tetvir;0.7;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204604_000;0.0;3.5;19.0;Phanan;0.09;noise;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204604_000;0.2;5.0;34.0;Testes;0.13;noise;;;;
