# Referentiel d'activite Vigie-Chiro Point Fixe (contacts/nuit)
# Source : Bas Y, Kerbiriou C, Roemer C & Julien JF (2020) Bat reference scale of activity levels (Team-Chiro / MNHN)
# https://croemer3.wixsite.com/teamchiro/reference-scales-of-activity - libre d'usage avec citation obligatoire
# national toutes-saisons = 2020 ; saisons/regions/habitats = 2023 ; genere par build_activity_ref.py
# Classes : Faible <Q25 | Moyenne Q25-Q75 | Forte Q75-Q98 | Tres forte >=Q98
code;referentiel;saison;q25;q75;q98;nbocc;confiance
Mimasp;habitat:Agricole;automne;1;6;1134;183;Bonne
Minsch;habitat:Agricole;automne;2;15;122;91;Moderee
Mussp;habitat:Agricole;automne;1;7;144;40;Faible
Myoalc;habitat:Agricole;automne;1;5;13;21;Faible
Myobec;habitat:Agricole;automne;1;2;3;14;Faible
Myocap;habitat:Agricole;automne;2;20;63;37;Faible
Myodau;habitat:Agricole;automne;2;11;234;175;Bonne
Myoema;habitat:Agricole;automne;1;6;36;165;Bonne
MyoGT;habitat:Agricole;automne;1;3;10;39;Faible
Myomys;habitat:Agricole;automne;1;23;246;199;Bonne
Myonat;habitat:Agricole;automne;3;22;166;215;Bonne
noise;habitat:Agricole;automne;174;3421;8648;511;Tres bonne
Nyclas;habitat:Agricole;automne;14;27;31;8;Faible
Nyclei;habitat:Agricole;automne;3;48;667;383;Bonne
Nycnoc;habitat:Agricole;automne;2;28;365;190;Bonne
Phanan;habitat:Agricole;automne;4;135;2444;333;Bonne
Phofem;habitat:Agricole;automne;1;3;15;77;Moderee
Phogri;habitat:Agricole;automne;7;216;5065;387;Bonne
piaf;habitat:Agricole;automne;44;264;671;223;Bonne
Pipkuh;habitat:Agricole;automne;6;140;4243;375;Bonne
Pipnat;habitat:Agricole;automne;3;34;1418;276;Bonne
Pippip;habitat:Agricole;automne;6;225;3603;435;Bonne
Pippyg;habitat:Agricole;automne;2;55;691;180;Bonne
Plaaff;habitat:Agricole;automne;4;28;62;9;Faible
Plaalb;habitat:Agricole;automne;2;14;102;82;Moderee
Plaint;habitat:Agricole;automne;2;37;485;253;Bonne
Plasab;habitat:Agricole;automne;2;108;353;35;Faible
Pleaur;habitat:Agricole;automne;1;13;71;126;Bonne
Pleaus;habitat:Agricole;automne;2;14;161;188;Bonne
Plemac;habitat:Agricole;automne;1;3;22;33;Faible
Ratnor;habitat:Agricole;automne;1;123;659;100;Moderee
Rhasp;habitat:Agricole;automne;3;48;2131;76;Moderee
Rhieur;habitat:Agricole;automne;1;2;6;16;Faible
Rhifer;habitat:Agricole;automne;2;10;86;47;Moderee
Rhihip;habitat:Agricole;automne;3;39;284;136;Bonne
Roeroe;habitat:Agricole;automne;1;6;47;127;Bonne
Rusnit;habitat:Agricole;automne;1;9;562;136;Bonne
Sepsep;habitat:Agricole;automne;1;8;43;87;Moderee
Tadten;habitat:Agricole;automne;3;26;2395;109;Bonne
Testes;habitat:Agricole;automne;2;48;801;232;Bonne
Tetarg;habitat:Agricole;automne;1;3;6;29;Faible
Tetvir;habitat:Agricole;automne;11;197;1877;406;Bonne
Tyllil;habitat:Agricole;automne;1;3;17;114;Bonne
Urosp;habitat:Agricole;automne;1;9;2038;86;Moderee
Vesmur;habitat:Agricole;automne;1;3;54;13;Faible
Yerray;habitat:Agricole;automne;2;18;795;238;Bonne
Yposp;habitat:Agricole;automne;2;13;79;267;Bonne
amph;habitat:Agricole-Foret;automne;1;2;4;9;Faible
