# Referentiel d'activite Vigie-Chiro Point Fixe (contacts/nuit)
# Source : Bas Y, Kerbiriou C, Roemer C & Julien JF (2020) Bat reference scale of activity levels (Team-Chiro / MNHN)
# https://croemer3.wixsite.com/teamchiro/reference-scales-of-activity - libre d'usage avec citation obligatoire
# national toutes-saisons = 2020 ; saisons/regions/habitats = 2023 ; genere par build_activity_ref.py
# Classes : Faible <Q25 | Moyenne Q25-Q75 | Forte Q75-Q98 | Tres forte >=Q98
code;referentiel;saison;q25;q75;q98;nbocc;confiance
Rhifer;habitat:Riviere;automne;1;6;129;18;Faible
Rhihip;habitat:Riviere;automne;2;19;46;51;Moderee
Roeroe;habitat:Riviere;automne;1;5;41;76;Moderee
Rusnit;habitat:Riviere;automne;1;59;2508;96;Moderee
Sepsep;habitat:Riviere;automne;1;13;753;44;Moderee
Tadten;habitat:Riviere;automne;3;39;272;80;Moderee
Testes;habitat:Riviere;automne;3;35;2194;126;Bonne
Tetvir;habitat:Riviere;automne;8;102;783;222;Bonne
Tyllil;habitat:Riviere;automne;1;6;17;87;Moderee
Urosp;habitat:Riviere;automne;2;84;4009;72;Moderee
Yerray;habitat:Riviere;automne;3;76;4868;125;Bonne
Yposp;habitat:Riviere;automne;2;12;96;134;Bonne
amph;national;automne;1;8;76;240;Bonne
Antsp;national;automne;3;58;988;429;Bonne
Aposp;national;automne;1;5;12;14;Faible
Barbar;national;automne;2;20;415;1602;Tres bonne
Barfis;national;automne;1;13;1819;1821;Tres bonne
Condor;national;automne;1;10;12;13;Faible
Confus;national;automne;1;8;428;1020;Tres bonne
criq;national;automne;1;2;11;44;Moderee
Cympud;national;automne;1;6;172;440;Bonne
Cyrscu;national;automne;1;22;3641;2839;Tres bonne
Decalb;national;automne;1;3;32;919;Tres bonne
Epheph;national;automne;1;14;490;2183;Tres bonne
Eptnil;national;automne;1;3;252;127;Bonne
Eptser;national;automne;2;12;216;3176;Tres bonne
Eupsp;national;automne;1;8;109;2397;Tres bonne
gril;national;automne;1;3;32;625;Tres bonne
Hypsav;national;automne;2;13;274;1098;Tres bonne
Insp11;national;automne;1;1;2;12;Faible
Insp12;national;automne;1;2;7;42;Moderee
Inssp5;national;automne;1;2;10;810;Tres bonne
Inssp7;national;automne;1;7;60;648;Tres bonne
Isopyr;national;automne;7;52;688;1197;Tres bonne
Lamsp.;national;automne;1;4;180;720;Tres bonne
Leppun;national;automne;3;139;5867;4408;Tres bonne
mamm;national;automne;1;3;118;362;Bonne
Metbra;national;automne;1;5;90;405;Bonne
Micagr;national;automne;1;4;41;791;Tres bonne
Mimasp;national;automne;1;4;95;1597;Tres bonne
Minsch;national;automne;2;27;1184;1323;Tres bonne
Mussp;national;automne;1;5;97;312;Bonne
Myoalc;national;automne;1;6;86;309;Bonne
Myobec;national;automne;1;2;5;160;Bonne
Myocap;national;automne;2;30;565;426;Bonne
Myodas;national;automne;1;2;13;10;Faible
Myodau;national;automne;2;17;290;2467;Tres bonne
Myoema;national;automne;1;10;185;2609;Tres bonne
MyoGT;national;automne;1;4;29;408;Bonne
Myomys;national;automne;1;16;287;2655;Tres bonne
Myonat;national;automne;3;35;612;2908;Tres bonne
noise;national;automne;28;2839;9502;8391;Tres bonne
Nyclas;national;automne;2;30;86;33;Faible
Nyclei;national;automne;3;27;352;4544;Tres bonne
Nycnoc;national;automne;1;13;382;2014;Tres bonne
Phafal;national;automne;1;3;19;149;Bonne
Phanan;national;automne;3;208;3200;4397;Tres bonne
Phofem;national;automne;1;3;46;719;Tres bonne
Phogri;national;automne;3;43;1664;5836;Tres bonne
piaf;national;automne;21;194;932;3111;Tres bonne
Pipkuh;national;automne;3;62;1555;4882;Tres bonne
Pipnat;national;automne;2;20;610;2495;Tres bonne
Pippip;national;automne;3;112;1763;6013;Tres bonne
Pippyg;national;automne;2;50;1424;2685;Tres bonne
Plaaff;national;automne;2;44;1072;206;Bonne
Plaalb;national;automne;1;15;852;1193;Tres bonne
Plaint;national;automne;2;32;950;2831;Tres bonne
Plasab;national;automne;2;23;277;767;Tres bonne
Pleaur;national;automne;1;6;58;1784;Tres bonne
Pleaus;national;automne;1;11;116;2296;Tres bonne
Plemac;national;automne;1;3;25;311;Bonne
Pteger;national;automne;2;53;166;11;Faible
Ratnor;national;automne;1;9;232;1098;Tres bonne
Rhasp;national;automne;2;63;4406;654;Tres bonne
Rhieur;national;automne;1;10;463;534;Tres bonne
Rhifer;national;automne;2;25;714;1256;Tres bonne
Rhihip;national;automne;2;23;480;1880;Tres bonne
Roeroe;national;automne;1;7;210;1301;Tres bonne
Rusnit;national;automne;1;12;1918;1753;Tres bonne
Sepsep;national;automne;1;10;116;776;Tres bonne
Tadten;national;automne;3;41;983;1464;Tres bonne
Testes;national;automne;1;21;1039;2745;Tres bonne
Tetarg;national;automne;1;2;24;206;Bonne
Tetpyg;national;automne;1;1;5;51;Moderee
Tetvir;national;automne;4;72;1379;6710;Tres bonne
Thycor;national;automne;1;1;50;35;Faible
Tyllil;national;automne;1;3;23;1379;Tres bonne
Urosp;national;automne;1;11;1258;1423;Tres bonne
Vesmur;national;automne;1;2;11;145;Bonne
Yerray;national;automne;1;13;1444;2776;Tres bonne
Yposp;national;automne;1;9;276;3388;Tres bonne
amph;habitat:Urbain;automne;2;8;13;12;Faible
Antsp;habitat:Urbain;automne;3;61;388;15;Faible
Barbar;habitat:Urbain;automne;4;50;209;80;Moderee
Barfis;habitat:Urbain;automne;1;6;494;67;Moderee
Confus;habitat:Urbain;automne;1;33;550;37;Faible
Cympud;habitat:Urbain;automne;1;90;405;19;Faible
Cyrscu;habitat:Urbain;automne;1;27;771;90;Moderee
Decalb;habitat:Urbain;automne;1;2;2;22;Faible
Epheph;habitat:Urbain;automne;1;11;455;73;Moderee
Eptser;habitat:Urbain;automne;2;11;166;129;Bonne
Eupsp;habitat:Urbain;automne;1;10;223;86;Moderee
gril;habitat:Urbain;automne;1;2;3;18;Faible
Hypsav;habitat:Urbain;automne;2;17;1040;43;Moderee
Inssp5;habitat:Urbain;automne;1;2;4;44;Moderee
Inssp7;habitat:Urbain;automne;1;4;41;27;Faible
Isopyr;habitat:Urbain;automne;9;36;138;38;Faible
Lamsp.;habitat:Urbain;automne;1;10;87;44;Moderee
Leppun;habitat:Urbain;automne;5;90;5501;162;Bonne
mamm;habitat:Urbain;automne;1;2;12;11;Faible
Metbra;habitat:Urbain;automne;1;3;5;10;Faible
Micagr;habitat:Urbain;automne;1;3;58;37;Faible
Mimasp;habitat:Urbain;automne;1;2;10;69;Moderee
Minsch;habitat:Urbain;automne;1;18;102;38;Faible
Mussp;habitat:Urbain;automne;1;2;6;8;Faible
Myobec;habitat:Urbain;automne;1;3;4;14;Faible
Myocap;habitat:Urbain;automne;3;6;28;22;Faible
Myodau;habitat:Urbain;automne;2;12;42;92;Moderee
Myoema;habitat:Urbain;automne;2;13;78;99;Moderee
MyoGT;habitat:Urbain;automne;1;4;7;25;Faible
Myomys;habitat:Urbain;automne;3;16;321;101;Bonne
Myonat;habitat:Urbain;automne;2;15;76;76;Moderee
noise;habitat:Urbain;automne;127;4040;9206;228;Bonne
Nyclei;habitat:Urbain;automne;4;43;309;143;Bonne
Nycnoc;habitat:Urbain;automne;2;9;30;96;Moderee
Phanan;habitat:Urbain;automne;21;1342;4727;144;Bonne
Phofem;habitat:Urbain;automne;1;26;46;23;Faible
Phogri;habitat:Urbain;automne;4;62;1435;162;Bonne
piaf;habitat:Urbain;automne;13;97;501;114;Bonne
Pipkuh;habitat:Urbain;automne;6;141;1144;178;Bonne
Pipnat;habitat:Urbain;automne;3;69;762;128;Bonne
Pippip;habitat:Urbain;automne;19;402;4452;204;Bonne
Pippyg;habitat:Urbain;automne;2;21;924;92;Moderee
Plaaff;habitat:Urbain;automne;1;150;316;4;Faible
Plaalb;habitat:Urbain;automne;1;10;64;64;Moderee
Plaint;habitat:Urbain;automne;3;29;451;81;Moderee
Pleaur;habitat:Urbain;automne;1;5;24;78;Moderee
Pleaus;habitat:Urbain;automne;1;11;47;105;Bonne
Plemac;habitat:Urbain;automne;1;6;11;20;Faible
Ratnor;habitat:Urbain;automne;1;5;29;21;Faible
Rhasp;habitat:Urbain;automne;3;58;1039;32;Faible
Rhieur;habitat:Urbain;automne;2;7;8;10;Faible
Rhifer;habitat:Urbain;automne;1;5;91;19;Faible
Rhihip;habitat:Urbain;automne;2;24;46;39;Faible
Roeroe;habitat:Urbain;automne;1;8;310;59;Moderee
Rusnit;habitat:Urbain;automne;1;46;3314;100;Moderee
Sepsep;habitat:Urbain;automne;1;3;13;28;Faible
Tadten;habitat:Urbain;automne;3;31;1285;42;Moderee
Testes;habitat:Urbain;automne;2;6;1173;97;Moderee
Tetvir;habitat:Urbain;automne;9;101;1678;187;Bonne
Tyllil;habitat:Urbain;automne;1;6;14;66;Moderee
Urosp;habitat:Urbain;automne;2;17;1219;62;Moderee
Yerray;habitat:Urbain;automne;3;44;3415;103;Bonne
Yposp;habitat:Urbain;automne;2;20;520;113;Bonne
amph;habitat:Agricole;ete;1;6;50;259;Bonne
Antsp;habitat:Agricole;ete;4;64;834;444;Bonne
Aposp;habitat:Agricole;ete;2;4;7;18;Faible
Barbar;habitat:Agricole;ete;2;24;233;2283;Tres bonne
Barfis;habitat:Agricole;ete;1;9;736;1914;Tres bonne
Bicbic;habitat:Agricole;ete;2;28;88;10;Faible
Condor;habitat:Agricole;ete;1;3;29;10;Faible
Confus;habitat:Agricole;ete;2;30;717;1764;Tres bonne
criq;habitat:Agricole;ete;1;2;12;52;Moderee
Cympud;habitat:Agricole;ete;1;6;190;666;Tres bonne
Cyrscu;habitat:Agricole;ete;1;14;1243;1709;Tres bonne
Decalb;habitat:Agricole;ete;1;4;104;1098;Tres bonne
Epheph;habitat:Agricole;ete;2;41;764;2381;Tres bonne
Eptnil;habitat:Agricole;ete;1;2;20;110;Bonne
Eptser;habitat:Agricole;ete;3;33;420;3817;Tres bonne
Eupsp;habitat:Agricole;ete;1;9;95;2395;Tres bonne
gril;habitat:Agricole;ete;1;2;34;634;Tres bonne
Hypsav;habitat:Agricole;ete;2;13;193;1637;Tres bonne
Insp11;habitat:Agricole;ete;1;1;7;19;Faible
Insp12;habitat:Agricole;ete;1;3;11;316;Bonne
Inssp5;habitat:Agricole;ete;1;2;8;849;Tres bonne
Inssp7;habitat:Agricole;ete;1;5;98;783;Tres bonne
Isopyr;habitat:Agricole;ete;8;59;711;1281;Tres bonne
Lamsp.;habitat:Agricole;ete;1;6;67;1686;Tres bonne
Leppun;habitat:Agricole;ete;11;1981;7000;3939;Tres bonne
mamm;habitat:Agricole;ete;1;3;41;339;Bonne
Metbra;habitat:Agricole;ete;1;9;84;829;Tres bonne
Micagr;habitat:Agricole;ete;1;3;30;660;Tres bonne
Mimasp;habitat:Agricole;ete;1;3;17;1655;Tres bonne
Minsch;habitat:Agricole;ete;1;12;131;1255;Tres bonne
Mussp;habitat:Agricole;ete;1;4;39;507;Tres bonne
Myoalc;habitat:Agricole;ete;1;3;34;425;Bonne
Myobec;habitat:Agricole;ete;1;2;4;248;Bonne
Myocap;habitat:Agricole;ete;1;8;108;368;Bonne
Myodas;habitat:Agricole;ete;1;1;3;14;Faible
Myodau;habitat:Agricole;ete;2;13;388;2946;Tres bonne
Myoema;habitat:Agricole;ete;1;7;44;2516;Tres bonne
MyoGT;habitat:Agricole;ete;1;4;20;1077;Tres bonne
Myomys;habitat:Agricole;ete;2;20;259;2743;Tres bonne
Myonat;habitat:Agricole;ete;3;17;101;2729;Tres bonne
noise;habitat:Agricole;ete;354;3473;7636;5099;Tres bonne
Nyclas;habitat:Agricole;ete;2;6;73;28;Faible
Nyclei;habitat:Agricole;ete;4;30;788;4064;Tres bonne
Nycnoc;habitat:Agricole;ete;2;14;164;2167;Tres bonne
Phafal;habitat:Agricole;ete;1;6;79;291;Bonne
Phanan;habitat:Agricole;ete;6;328;2900;3703;Tres bonne
Phofem;habitat:Agricole;ete;1;5;98;1300;Tres bonne
Phogri;habitat:Agricole;ete;9;283;5995;4307;Tres bonne
piaf;habitat:Agricole;ete;19;166;890;2778;Tres bonne
Pipkuh;habitat:Agricole;ete;16;327;2749;4374;Tres bonne
Pipnat;habitat:Agricole;ete;2;20;236;3326;Tres bonne
Pippip;habitat:Agricole;ete;38;582;3303;4709;Tres bonne
Pippyg;habitat:Agricole;ete;2;54;775;2453;Tres bonne
Plaaff;habitat:Agricole;ete;5;225;2376;507;Tres bonne
Plaalb;habitat:Agricole;ete;2;125;1951;1766;Tres bonne
Plafal;habitat:Agricole;ete;2;128;1751;118;Bonne
Plaint;habitat:Agricole;ete;3;111;2455;3164;Tres bonne
Plasab;habitat:Agricole;ete;3;48;1455;522;Tres bonne
Pleaur;habitat:Agricole;ete;1;4;48;1526;Tres bonne
Pleaus;habitat:Agricole;ete;2;9;61;2536;Tres bonne
Plemac;habitat:Agricole;ete;1;3;16;278;Bonne
Ratnor;habitat:Agricole;ete;1;12;336;661;Tres bonne
Rhasp;habitat:Agricole;ete;3;43;610;971;Tres bonne
Rhieur;habitat:Agricole;ete;1;4;203;107;Bonne
Rhifer;habitat:Agricole;ete;1;9;136;866;Tres bonne
Rhihip;habitat:Agricole;ete;1;8;95;1328;Tres bonne
Roeroe;habitat:Agricole;ete;1;15;291;2081;Tres bonne
Rusnit;habitat:Agricole;ete;2;616;4456;2039;Tres bonne
Sepsep;habitat:Agricole;ete;1;12;149;1238;Tres bonne
Tadten;habitat:Agricole;ete;2;29;324;1131;Tres bonne
Testes;habitat:Agricole;ete;3;300;5695;3021;Tres bonne
Tetarg;habitat:Agricole;ete;1;2;25;214;Bonne
Tetcan;habitat:Agricole;ete;2;10;47;17;Faible
Tetpyg;habitat:Agricole;ete;1;1;6;98;Moderee
Tetvir;habitat:Agricole;ete;27;1288;3620;4630;Tres bonne
Thycor;habitat:Agricole;ete;1;1;5;51;Moderee
Tyllil;habitat:Agricole;ete;1;5;98;1574;Tres bonne
Urosp;habitat:Agricole;ete;1;28;2183;1548;Tres bonne
Vesmur;habitat:Agricole;ete;1;3;14;63;Moderee
Yerbey;habitat:Agricole;ete;1;1;2;19;Faible
Yerray;habitat:Agricole;ete;4;43;2200;3167;Tres bonne
Yposp;habitat:Agricole;ete;2;16;283;3384;Tres bonne
amph;habitat:Agricole-Foret;ete;1;4;39;88;Moderee
Antsp;habitat:Agricole-Foret;ete;5;95;873;151;Bonne
Barbar;habitat:Agricole-Foret;ete;3;25;179;665;Tres bonne
Barfis;habitat:Agricole-Foret;ete;1;10;484;637;Tres bonne
Confus;habitat:Agricole-Foret;ete;2;27;756;530;Tres bonne
criq;habitat:Agricole-Foret;ete;1;3;6;21;Faible
Cympud;habitat:Agricole-Foret;ete;1;6;125;199;Bonne
Cyrscu;habitat:Agricole-Foret;ete;1;13;351;572;Tres bonne
Decalb;habitat:Agricole-Foret;ete;1;3;78;357;Bonne
Epheph;habitat:Agricole-Foret;ete;2;44;1173;748;Tres bonne
Eptnil;habitat:Agricole-Foret;ete;1;2;12;37;Faible
Eptser;habitat:Agricole-Foret;ete;4;40;318;1088;Tres bonne
Eupsp;habitat:Agricole-Foret;ete;1;10;119;750;Tres bonne
gril;habitat:Agricole-Foret;ete;1;2;18;190;Bonne
Hypsav;habitat:Agricole-Foret;ete;2;14;122;446;Bonne
Insp12;habitat:Agricole-Foret;ete;1;3;11;59;Moderee
Inssp5;habitat:Agricole-Foret;ete;1;2;9;278;Bonne
Inssp7;habitat:Agricole-Foret;ete;1;6;55;238;Bonne
Isopyr;habitat:Agricole-Foret;ete;11;81;1225;459;Bonne
Lamsp.;habitat:Agricole-Foret;ete;1;8;101;501;Tres bonne
Leppun;habitat:Agricole-Foret;ete;16;2802;6742;1197;Tres bonne
mamm;habitat:Agricole-Foret;ete;1;1;4;86;Moderee
Metbra;habitat:Agricole-Foret;ete;1;5;59;203;Bonne
Micagr;habitat:Agricole-Foret;ete;1;3;13;215;Bonne
Mimasp;habitat:Agricole-Foret;ete;1;3;15;365;Bonne
Minsch;habitat:Agricole-Foret;ete;2;12;180;458;Bonne
Mussp;habitat:Agricole-Foret;ete;1;3;9;112;Bonne
Myoalc;habitat:Agricole-Foret;ete;1;6;158;251;Bonne
Myobec;habitat:Agricole-Foret;ete;1;2;5;92;Moderee
Myocap;habitat:Agricole-Foret;ete;2;20;250;141;Bonne
Myodau;habitat:Agricole-Foret;ete;2;17;407;911;Tres bonne
Myoema;habitat:Agricole-Foret;ete;2;8;87;859;Tres bonne
MyoGT;habitat:Agricole-Foret;ete;1;4;17;267;Bonne
Myomys;habitat:Agricole-Foret;ete;3;34;337;930;Tres bonne
Myonat;habitat:Agricole-Foret;ete;3;17;103;877;Tres bonne
noise;habitat:Agricole-Foret;ete;974;3607;7416;1322;Tres bonne
Nyclas;habitat:Agricole-Foret;ete;5;48;82;6;Faible
Nyclei;habitat:Agricole-Foret;ete;6;41;261;1128;Tres bonne
Nycnoc;habitat:Agricole-Foret;ete;2;18;295;602;Tres bonne
Phafal;habitat:Agricole-Foret;ete;1;5;240;57;Moderee
Phanan;habitat:Agricole-Foret;ete;8;308;3365;1117;Tres bonne
Phofem;habitat:Agricole-Foret;ete;1;6;71;420;Bonne
Phogri;habitat:Agricole-Foret;ete;17;1107;5961;1191;Tres bonne
piaf;habitat:Agricole-Foret;ete;26;196;853;941;Tres bonne
Pipkuh;habitat:Agricole-Foret;ete;19;274;2006;1228;Tres bonne
Pipnat;habitat:Agricole-Foret;ete;2;19;215;898;Tres bonne
Pippip;habitat:Agricole-Foret;ete;99;802;3227;1280;Tres bonne
Pippyg;habitat:Agricole-Foret;ete;2;33;670;774;Tres bonne
Plaaff;habitat:Agricole-Foret;ete;3;37;577;116;Bonne
Plaalb;habitat:Agricole-Foret;ete;2;66;1384;496;Bonne
Plaint;habitat:Agricole-Foret;ete;5;112;2084;966;Tres bonne
Plasab;habitat:Agricole-Foret;ete;3;42;442;129;Bonne
Pleaur;habitat:Agricole-Foret;ete;1;4;30;442;Bonne
Pleaus;habitat:Agricole-Foret;ete;2;8;58;717;Tres bonne
Plemac;habitat:Agricole-Foret;ete;1;2;6;72;Moderee
Ratnor;habitat:Agricole-Foret;ete;1;4;65;140;Bonne
Rhasp;habitat:Agricole-Foret;ete;4;55;1164;367;Bonne
Rhieur;habitat:Agricole-Foret;ete;1;4;58;56;Moderee
Rhifer;habitat:Agricole-Foret;ete;1;9;160;327;Bonne
Rhihip;habitat:Agricole-Foret;ete;2;13;104;544;Tres bonne
Roeroe;habitat:Agricole-Foret;ete;2;18;333;619;Tres bonne
Rusnit;habitat:Agricole-Foret;ete;2;654;4088;544;Tres bonne
Sepsep;habitat:Agricole-Foret;ete;1;10;130;423;Bonne
Tadten;habitat:Agricole-Foret;ete;3;27;278;381;Bonne
Testes;habitat:Agricole-Foret;ete;2;69;2662;799;Tres bonne
Tetarg;habitat:Agricole-Foret;ete;1;2;112;60;Moderee
Tetpyg;habitat:Agricole-Foret;ete;1;1;4;26;Faible
Tetvir;habitat:Agricole-Foret;ete;63;1581;3887;1261;Tres bonne
Tyllil;habitat:Agricole-Foret;ete;1;4;244;488;Bonne
Urosp;habitat:Agricole-Foret;ete;1;61;2309;476;Bonne
Yerray;habitat:Agricole-Foret;ete;4;36;857;1017;Tres bonne
Yposp;habitat:Agricole-Foret;ete;2;16;314;958;Tres bonne
amph;habitat:Agricole-Urbain;ete;3;30;165;382;Bonne
Antsp;habitat:Agricole-Urbain;ete;8;126;690;272;Bonne
Barbar;habitat:Agricole-Urbain;ete;2;27;275;1338;Tres bonne
Barfis;habitat:Agricole-Urbain;ete;1;25;740;1033;Tres bonne
Confus;habitat:Agricole-Urbain;ete;2;35;611;612;Tres bonne
criq;habitat:Agricole-Urbain;ete;1;5;19;64;Moderee
Cympud;habitat:Agricole-Urbain;ete;1;8;188;320;Bonne
Cyrscu;habitat:Agricole-Urbain;ete;1;63;4261;949;Tres bonne
Decalb;habitat:Agricole-Urbain;ete;1;5;70;389;Bonne
Epheph;habitat:Agricole-Urbain;ete;2;49;567;1287;Tres bonne
Eptnil;habitat:Agricole-Urbain;ete;1;2;11;119;Bonne
Eptser;habitat:Agricole-Urbain;ete;5;44;501;1895;Tres bonne
Eupsp;habitat:Agricole-Urbain;ete;1;7;66;1004;Tres bonne
gril;habitat:Agricole-Urbain;ete;1;2;14;300;Bonne
Hypsav;habitat:Agricole-Urbain;ete;2;17;299;810;Tres bonne
Insp12;habitat:Agricole-Urbain;ete;1;3;12;191;Bonne
Inssp5;habitat:Agricole-Urbain;ete;1;2;9;323;Bonne
Inssp7;habitat:Agricole-Urbain;ete;1;3;40;318;Bonne
Isopyr;habitat:Agricole-Urbain;ete;13;83;957;542;Tres bonne
Lamsp.;habitat:Agricole-Urbain;ete;1;8;97;784;Tres bonne
Leppun;habitat:Agricole-Urbain;ete;9;285;5362;2069;Tres bonne
mamm;habitat:Agricole-Urbain;ete;1;2;4;140;Bonne
Metbra;habitat:Agricole-Urbain;ete;1;12;140;731;Tres bonne
Micagr;habitat:Agricole-Urbain;ete;1;4;20;274;Bonne
Mimasp;habitat:Agricole-Urbain;ete;1;4;14;915;Tres bonne
Minsch;habitat:Agricole-Urbain;ete;1;10;107;643;Tres bonne
Mussp;habitat:Agricole-Urbain;ete;1;5;46;299;Bonne
Myoalc;habitat:Agricole-Urbain;ete;1;2;28;147;Bonne
Myobec;habitat:Agricole-Urbain;ete;1;2;6;173;Bonne
Myocap;habitat:Agricole-Urbain;ete;2;10;221;160;Bonne
Myodas;habitat:Agricole-Urbain;ete;1;1;4;21;Faible
Myodau;habitat:Agricole-Urbain;ete;2;12;201;1620;Tres bonne
Myoema;habitat:Agricole-Urbain;ete;1;6;37;1164;Tres bonne
MyoGT;habitat:Agricole-Urbain;ete;1;4;24;444;Bonne
Myomys;habitat:Agricole-Urbain;ete;1;7;81;1260;Tres bonne
Myonat;habitat:Agricole-Urbain;ete;2;14;213;1265;Tres bonne
noise;habitat:Agricole-Urbain;ete;1047;3994;7066;2285;Tres bonne
Nyclas;habitat:Agricole-Urbain;ete;1;3;6;12;Faible
Nyclei;habitat:Agricole-Urbain;ete;4;46;1563;1886;Tres bonne
Nycnoc;habitat:Agricole-Urbain;ete;2;12;156;1218;Tres bonne
Phafal;habitat:Agricole-Urbain;ete;1;9;145;425;Bonne
Phanan;habitat:Agricole-Urbain;ete;7;468;2827;1822;Tres bonne
Phofem;habitat:Agricole-Urbain;ete;1;5;64;777;Tres bonne
Phogri;habitat:Agricole-Urbain;ete;13;114;2477;2145;Tres bonne
piaf;habitat:Agricole-Urbain;ete;16;108;667;1230;Tres bonne
Pipkuh;habitat:Agricole-Urbain;ete;31;327;3101;2175;Tres bonne
Pipnat;habitat:Agricole-Urbain;ete;4;36;369;1777;Tres bonne
Pippip;habitat:Agricole-Urbain;ete;54;591;2709;2216;Tres bonne
Pippyg;habitat:Agricole-Urbain;ete;3;54;646;1414;Tres bonne
Plaaff;habitat:Agricole-Urbain;ete;4;372;2682;296;Bonne
Plaalb;habitat:Agricole-Urbain;ete;5;306;3232;1441;Tres bonne
Plafal;habitat:Agricole-Urbain;ete;1;93;1850;101;Bonne
Plaint;habitat:Agricole-Urbain;ete;2;121;1959;1312;Tres bonne
Plasab;habitat:Agricole-Urbain;ete;2;23;1032;713;Tres bonne
Pleaur;habitat:Agricole-Urbain;ete;1;5;62;834;Tres bonne
Pleaus;habitat:Agricole-Urbain;ete;2;10;73;1357;Tres bonne
Plemac;habitat:Agricole-Urbain;ete;1;4;21;146;Bonne
Ratnor;habitat:Agricole-Urbain;ete;1;3;46;288;Bonne
Rhasp;habitat:Agricole-Urbain;ete;3;60;492;293;Bonne
Rhieur;habitat:Agricole-Urbain;ete;1;2;27;21;Faible
Rhifer;habitat:Agricole-Urbain;ete;2;12;138;666;Tres bonne
Rhihip;habitat:Agricole-Urbain;ete;2;8;48;563;Tres bonne
Roeroe;habitat:Agricole-Urbain;ete;1;19;341;954;Tres bonne
Rusnit;habitat:Agricole-Urbain;ete;3;820;3341;1323;Tres bonne
Sepsep;habitat:Agricole-Urbain;ete;1;21;268;411;Bonne
Tadten;habitat:Agricole-Urbain;ete;2;36;368;399;Bonne
Testes;habitat:Agricole-Urbain;ete;4;550;5355;1636;Tres bonne
Tetarg;habitat:Agricole-Urbain;ete;1;4;15;382;Bonne
Tetpyg;habitat:Agricole-Urbain;ete;1;1;4;78;Moderee
Tetvir;habitat:Agricole-Urbain;ete;122;1586;3911;2213;Tres bonne
Thycor;habitat:Agricole-Urbain;ete;1;1;5;51;Moderee
Tyllil;habitat:Agricole-Urbain;ete;1;8;79;694;Tres bonne
Urosp;habitat:Agricole-Urbain;ete;2;220;2980;969;Tres bonne
Vesmur;habitat:Agricole-Urbain;ete;1;2;5;70;Moderee
Yerbey;habitat:Agricole-Urbain;ete;1;1;2;15;Faible
Yerray;habitat:Agricole-Urbain;ete;2;41;3158;1282;Tres bonne
Yposp;habitat:Agricole-Urbain;ete;2;16;293;1794;Tres bonne
amph;region:Auvergne-Rhone-Alpes;ete;1;9;77;450;Bonne
Antsp;region:Auvergne-Rhone-Alpes;ete;6;123;1771;616;Tres bonne
Aposp;region:Auvergne-Rhone-Alpes;ete;1;2;6;21;Faible
Barbar;region:Auvergne-Rhone-Alpes;ete;2;24;615;2683;Tres bonne
Barfis;region:Auvergne-Rhone-Alpes;ete;1;12;866;2002;Tres bonne
Bicbic;region:Auvergne-Rhone-Alpes;ete;7;22;34;11;Faible
Condor;region:Auvergne-Rhone-Alpes;ete;2;8;354;24;Faible
Confus;region:Auvergne-Rhone-Alpes;ete;1;22;677;1329;Tres bonne
criq;region:Auvergne-Rhone-Alpes;ete;1;3;16;137;Bonne
Cympud;region:Auvergne-Rhone-Alpes;ete;1;4;115;376;Bonne
Cyrscu;region:Auvergne-Rhone-Alpes;ete;1;16;305;1772;Tres bonne
Decalb;region:Auvergne-Rhone-Alpes;ete;1;3;60;847;Tres bonne
Epheph;region:Auvergne-Rhone-Alpes;ete;3;142;3347;2615;Tres bonne
Eptnil;region:Auvergne-Rhone-Alpes;ete;1;2;9;243;Bonne
Eptser;region:Auvergne-Rhone-Alpes;ete;4;36;286;3819;Tres bonne
Eupsp;region:Auvergne-Rhone-Alpes;ete;1;7;89;2166;Tres bonne
gril;region:Auvergne-Rhone-Alpes;ete;1;2;32;709;Tres bonne
Hypsav;region:Auvergne-Rhone-Alpes;ete;2;18;159;1957;Tres bonne
Insp11;region:Auvergne-Rhone-Alpes;ete;1;1;8;16;Faible
Insp12;region:Auvergne-Rhone-Alpes;ete;1;2;8;167;Bonne
Inssp5;region:Auvergne-Rhone-Alpes;ete;1;2;8;891;Tres bonne
Inssp7;region:Auvergne-Rhone-Alpes;ete;1;4;46;796;Tres bonne
Isopyr;region:Auvergne-Rhone-Alpes;ete;10;94;1401;1400;Tres bonne
Lamsp.;region:Auvergne-Rhone-Alpes;ete;1;6;35;1364;Tres bonne
Leppun;region:Auvergne-Rhone-Alpes;ete;10;1453;6826;4181;Tres bonne
mamm;region:Auvergne-Rhone-Alpes;ete;1;1;5;257;Bonne
Metbra;region:Auvergne-Rhone-Alpes;ete;1;18;136;1252;Tres bonne
Micagr;region:Auvergne-Rhone-Alpes;ete;1;3;15;608;Tres bonne
Mimasp;region:Auvergne-Rhone-Alpes;ete;1;3;15;1282;Tres bonne
Minsch;region:Auvergne-Rhone-Alpes;ete;1;8;84;1301;Tres bonne
Mussp;region:Auvergne-Rhone-Alpes;ete;1;3;14;317;Bonne
Myoalc;region:Auvergne-Rhone-Alpes;ete;1;5;66;800;Tres bonne
Myobec;region:Auvergne-Rhone-Alpes;ete;1;2;7;491;Bonne
