# Taxons acceptes par l'API Vigie-Chiro (GET /taxons) — snapshot pour
# l'autocompletion/validation de la saisie observateur. Source de verite
# des codes envoyables ; regenerable via: python vigiechiro_api.py dump-taxons
code;libelle
Pippip;Pipistrelle commune (Pipistrellus pipistrellus)
Pippyg;Pipistrelle soprane / pygmée (Pipistrellus pygmaeus)
Pipsp;Pipistrelle sp. (Pipistrellus sp.)
Plaaff;Decticelle côtière (Platycleis affinis)
Plaalb;Decticelle chagrinée (Platycleis albopunctata)
Plafal;Decticelle à serpe (Platycleis falx)
Plaint;Decticelle intermédiaire (Platycleis intermedia)
plane;Avion
Plasab;Decticelle des sables (Platycleis sabulosa)
Pleaur;Oreillard roux (Plecotus auritus)
Pleaus;Oreillard gris (Plecotus austriacus)
Plekol;Oreillard des Balkans (Plecotus kolombatovici)
Plemac;Oreillard montagnard (Plecotus macrobullaris)
Plesp;Oreillard sp. (Plecotus sp.)
Poepal;Poepal
Psepra;Halias du hetre (Pseudoips prasinana)
Ptebon;Decticelle d'Evisa (Pterolepis bonfilsi)
Ptecor;Decticelle de Porto-Vecchio (Pterolepis corsicana)
Pteger;Decticelle orientale (Pterolepis germanica)
Ptehey;Grillon des marais (Pteronemobius heydenii)
Ptepon;Decticelle varoise (Pterolepis poneli)
rain;Pluie
Ratnor;Rat surmulot (Rattus norvegicus)
Ratrat;Rat noir (Rattus rattus)
Ratsp;Rat sp. (Rattus sp.)
Renard volant à lunettes;Pteropus conspicillatus
Rhaann;Decticelle annelée (Rhacocleis annulata)
Rhapon;Decticelle varoise (Rhacocleis poneli)
Rhasp;Decticelle type Rhacocleis (Rhacocleis sp.)
Rhieur;Rhinolophe euryale (Rhinolophus euryale)
Rhifer;Grand Rhinolophe (Rhinolophus ferrumequinum)
Rhihip;Petit Rhinolophe (Rhinolophus hipposideros)
Rhisp.;Rhinolophidae
river;Cours d'eau
Roeroe;Decticelle bariolée (Roeseliana roeselii)
rousette;Roussette
Rousettus aegyptiacus;Roussette d'Égypte
Rusnit;Conocéphale gracieux (Ruspolia nitidula)
SauIn1;Sauterelle sp. Inde type 1
SauIn2;Sauterelle sp. Inde type 2
